# Project history mirror (agents.md)
# Canonical detailed log: docs/HISTORY.md — APPEND ONLY; never delete prior lines.
# Format: YYYY-MM-DD | [CATEGORY] | short note

2026-07-20 | [PROCESS] | run-ai.sh deploy/restart; full reboot default for CSI
2026-07-20 | [FIX] | Rev I pulse-power CH2 — stop latched module 12V cooking FETs
2026-07-20 | [CODE] | MOSFET SIG LED at idle — idle watchdog SIG LOW + CH2 OFF
2026-07-20 | [FEATURE] | Unify GUI tunables → settings.json + 30 backups; Apply vs Save permanent
2026-07-20 | [BUG FIX] | Sniper black after soft restart — csi_phy_dead detect; deploy.sh auto-reboot
2026-07-20 | [FEATURE] | Pressure-gated solenoid-only fire; maintain 60s; hyst=0; sensor fault disarm+alarm
2026-07-20 | [BUG FIX] | Auto-cal no-click: locked pulse_solenoid; watchdog CH2 race; activity.log 10MB; pulse 100ms
2026-07-20 | [FEATURE] | Control tab DRAIN PIPE 15s (only intentional pump+open overlap)
2026-07-20 | [BUG FIX] | Auto-cal clicks die after ~3 shots — ARMED module_power_hold; no pump-edge CH2 cut
2026-07-20 | [BUG FIX] | CH2 hold ON in software but LED off — re-assert PY.00; log ch2_rb
2026-07-20 | [HW/SW] | Rev J: CH2 never closes — hardwire module 12V (jumper CH2 load); SIG LED≠coil
2026-07-20 | [PROCESS] | Catch-up commits + HISTORY for missed solenoid troubleshooting steps
2026-07-20 | [GIT] | d7dd381 docs(process) HISTORY+history.txt+commit-per-step rule
2026-07-20 | [GIT] | 5cc7f55 feat(settings) settings.json + 30 backups
2026-07-20 | [GIT] | e2f5248 fix(deploy) CSI PHY death detect + auto-reboot
2026-07-20 | [GIT] | 04ef3f6 fix(ECO-004) pressure-gated fire through Rev J hardwired 12V

# TROUBLESHOOTING INDEX — details in docs/HISTORY.md § 2026-07-20 PROCESS catch-up
# 1 Rev I pulse-power  2 SIG LED≠power  3 CSI PHY dead  4 pressure-gated fire
# 5 pulse lock+100ms+activity.log  6 DRAIN PIPE  7 module_power_hold
# 8 CH2 re-assert+ch2_rb  9 Rev J hardwire jumper CH2 load
2026-07-21 | [TROUBLESHOOT] | Auto-cal silent hardwired=True — need CH2 load jumper; block start without confirm
2026-07-21 | [BUG FIX] | Intermittent clicks after CH2 jumper — stop SIG LOW hammering; pulse busy; cal retries=1
2026-07-21 | [VERIFY] | CH2 jumper: Click Test + auto-cal clicks reliable; keep jumpered (do not restore CH2 gating)
2026-07-22 | [BUG FIX] | TEST FIRE→solenoid; DRAIN keep valve open; sol FIRE default 100ms; click recover
2026-07-22 | [SAFE] | Rev J.1 boot heat with CH2 jumper — series MODULE 12V switch; claim_sig_low early in sentry.service
2026-07-21 | [HW/SW] | Rev K: CH2 IN T13→T22 (BCM25/PY.01); hardwired=false default; jumper removed; gated SSR restored
2026-07-21 | [ROOT CAUSE] | T22/PY.01 also weak (rb=1 LED off) — Rev L CH2→T29/BCM5/PQ.05 (PADCTL 0x68)
2026-07-21 | [DECISION] | Rev M: T29 also fails — abandon CH2 GPIO gating; hardwired jumper default + series 12V switch
2026-07-21 | [DIAGRAM] | eco004_mosfet_module_option.drawio Rev N — 2N3904 buffer wire-move guide (T29/T17/IN B)
2026-07-21 | [REQUIREMENT] | Automated CH2 only — no post-boot MODULE 12V switch; buffer+gated is production path
2026-07-23 | [OPS] | Jumper off; gated hardwired=false for T29 direct-wire Click Test / auto-cal before 2N3904
2026-07-23 | [DIAG] | Mixed LEDs: fix gate_hold=SIG-only; no-click with CH2 lit → load path or still need 2N3904
2026-07-23 | [VERIFY] | T29 gated works without transistor after reseat; hardwired=false persisted for reboot test
2026-07-23 | [PROCUREMENT] | parts.csv Option B: Pico W + diode kit + USB; have IRLB8721 + BOJACK; total ~2034.89 CAD
2026-07-24 | [DIAGRAM/SPEC] | Option B Rev O: eco004_mosfet_module_option.drawio Pico+IRLB8721+1N5408 wire moves; HW-001 §5.4; parts received
2026-07-24 | [SOFTWARE] | Still legacy T36 SIG + T29/CH2 — Pico CDC FIRE driver not landed yet
2026-07-24 | [DIAGRAM] | Option B cable map C1–C8 END A→END B + colored arrows; clearer install view
2026-07-24 | [DIAGRAM] | Option B after-wire Ω table on eco004_mosfet_module_option.drawio (12V OFF)
2026-07-24 | [PROCESS] | AGENTS.md: commit+push catch-up for Option B Rev O specs/BOM/diagram
2026-07-25 | [DIAGRAM] | Fix C5 Source arrow off +12V box → GND; clarify Source≠12V, C7=RED only
2026-07-25 | [SW] | Option B Pico W live: pico_solenoid.py + firmware + RelayController FIRE path; default driver=pico
2026-07-26 | [OPS] | Pico flashed on Jetson (data cable); MicroPython+main.py; sentry Connected ttyACM0 gate CLOSED
2026-07-27 | [DIAGRAM/SPEC] | Check valve as-built pump→accum in eco004_fluid_topology + HW-001 §8; parts have
2026-07-27 | [FIX] | Pico detect MicroPython by-id + reconnect; stop Ctrl-D renumber on connect
2026-07-27 | [FIX] | Pico USB reseat auto-reconnect via health_check (no sentry restart)
2026-07-27 | [UI] | Mobile: wrap tabs so Control visible; lock sideways pan on sliders
2026-07-27 | [UI] | Dashboard brand → BugSniper (GUI title/header)
2026-07-27 | [FEATURE] | Hunt Start/Stop in GUI; boot ON + auto-arm; pause-only stop; SW-001 §2.13
2026-07-27 | [DEPLOY] | Hunt mode → Jetson 192.168.0.196 reboot; verified HUNTING+armed via /api/hunt/status
2026-07-27 | [FEATURE] | Hunt Attempts gallery: last 50 Scout+Sniper stills+≤5s video; SW-001 §2.14
2026-07-27 | [DEPLOY] | Hunt gallery → Jetson; CSI auto-reboot; captures live (4 rejects saved)
2026-07-27 | [BUG FIX] | Hunt capture overload: stills-only, max 5, 8s cooldown; wipe+full reboot
2026-07-27 | [FEATURE] | Hunt track+boresight+hit-verify; Scout dead-zone; keep YOLO
2026-07-27 | [FIX] | Sniper rotate_180; nozzle cal on fire only; auto mount boresight (fix ~30° low aim)
2026-07-27 | [FIX] | Align Scout↔Gimbal Control-tab button + ORB /api/hunt/align; fov_scale 1.35; SW-001 v5.6
2026-07-27 | [FIX] | Align ORB single-pass only (2nd pass invalid after large yaw move)
2026-07-27 | [LICENSE] | PolyForm Noncommercial 1.0.0 + COMMERCIAL.md (contact salmannaqvi.com); README license blurb
2026-07-27 | [FIX] | ORB align: RANSAC+18° cap; reset bad mount bias to 0
2026-07-27 | [FEATURE] | Hunt gallery: last 10 any + last 100 insects; Sniper water trajectory strip on fire
2026-07-27 | [OPS] | Gallery+trajectory code ready locally; Jetson 192.168.0.196 unreachable — deploy when back
2026-07-27 | [CONFIG] | Factory start 15 PSI / 10ms; cal must match hunt setpoint; ToF scales with sqrt(PSI)
2026-07-28 | [FIX] | Auto-cal: noise-floor+consensus HitDetector; reject save <3 hits; sniper-crosshair aim (dry false hits)
2026-07-28 | [FEATURE] | Hit verdict ≥3/4: psi_drop + insect_lock + traj∩bbox + splash_near_bbox
2026-07-28 | [FIX] | Hit verdict: remove PSI; splash optional+gravity; HIT ≥2/3 lock/traj/ballistic
2026-07-28 | [SW] | IR awareness: hardwired always-on in /api/status + dashboard pill (no GPIO control)
2026-07-28 | [SW] | Camera optics awareness: Scout permanent NoIR vs Sniper motorized IR-cut (not Jetson-driven)
2026-07-28 | [DIAGRAM] | wire_13_sniper_ircut.drawio — IR-cut needs IR+GND across umbilical (not CSI); Mode B → BCM22/T15
2026-07-28 | [FINDING] | Sniper UC-350 Rev.C: LDR auto; IR+GND local to cut motor; Mode B = extend IR+GND → BCM22 (wire_13 updated)
2026-07-28 | [DECISION] | Sniper IR-cut Mode A LDR auto (verified) — leave as-is; Mode B deferred
2026-07-28 | [DEPLOY] | ./run-ai.sh → Jetson reboot; Mode A optics live on dashboard
2026-07-28 | [PROCESS] | Enforce AGENTS.md commit-every-step; catch-up commit + cursor rule
2026-07-28 | [PROCESS] | Commit and push every discrete step (cursor rule updated)
2026-07-28 | [PROCESS] | agents.md: commit and push every discrete step
2026-07-28 | [BUG FIX] | Stop ≤25ms→100 pulse migration; UI allows 1ms standard pulse
2026-07-28 | [DEPLOY] | Pulse fix live on Jetson; 10ms persists after reboot
2026-07-28 | [TUNING] | Outdoor temper: Scout less sensitive, slower servo, fov_scale=1, min_speed 80px/s
2026-07-28 | [DEPLOY] | Outdoor temper profile live on Jetson
2026-07-28 | [TROUBLESHOOT] | Auto-cal HitDetector misses deck wet spots (low_change/no_blob) — questions before fix
2026-07-28 | [FIX] | Auto-cal: darkening wet-stain HitDetector + 11/15/20/30ms pulse ladder
2026-07-28 | [DEPLOY] | Auto-cal wet-stain fix live on Jetson
2026-07-28 | [TROUBLESHOOT] | Hunt: 207 motion / 0 shots — YOLO no_insect + one uncentered ladybug; questions before fix
2026-07-28 | [FIX] | Hunt: YOLO ROI×2 + conf 0.35 + opportunity fire; Scout slightly relaxed for flies
2026-07-28 | [DEPLOY] | Hunt first-field detect fixes live + settings applied
2026-07-28 | [UI] | Cal: bright-red before/after diff + last 10 successful hit gallery
2026-07-28 | [DEPLOY] | Cal red-diff gallery live on Jetson
2026-07-28 | [TROUBLESHOOT] | Auto-cal false hit pixels → wild offsets; questions before fix

2026-07-28 | [FIX] | Auto-cal: near-crosshair HitDetector + reject |offset|>8°; pulse 30ms-first; inlier median
2026-07-28 | [DEPLOY] | Near-crosshair auto-cal + offset outlier reject live on Jetson
2026-07-28 | [FIX] | Auto-cal HitDetector v5.16: persistent darken+contrast; refuse high noise; Point10 wet matched offline
2026-07-28 | [DEPLOY] | HitDetector v5.16 persistent-darken auto-cal live on Jetson
2026-07-28 | [FIX] | EST/EDT timezone for system+logs+GUI; HitDetector v5.17 anti-foliage/gravity from operator labels
2026-07-28 | [DEPLOY] | EST timezone + HitDetector v5.17 live on Jetson
2026-07-28 | [FIX] | HitDetector v5.18 dense post-fire burst to see water landing like a human; soft right+gravity prior
2026-07-28 | [DEPLOY] | HitDetector v5.18 dense burst splash localization live on Jetson
2026-07-28 | [FEATURE] | temp Jetson HTML review package + operator-feedback RL for splash priors (SW-001 §2.15)
2026-07-28 | [DEPLOY] | Learning feedback API/UI live; Jetson review HTML at temp/jetson_review_20260728_224016/
2026-07-29 | [OPS] | Jetson 6h review HTML at temp/jetson_review_20260729_041335/
2026-07-29 | [UI] | Larger Jetson review images + click-to-open full JPG for insect verify
2026-07-29 | [BUG FIX] | Learning deadlock: cal Correct/Wrong hung; hunt teach UI + SW-001 v5.20
2026-07-29 | [DEPLOY] | Learning deadlock fix + hunt teach UI live (auto-reboot; cameras healthy)
2026-07-29 | [UI] | Jetson review HTML omits calibration hits (hunt+logs only)
2026-07-29 | [TROUBLESHOOT] | Insect ID overhaul: false YOLO + insects not on camera; staged plan in HISTORY
2026-07-29 | [FIX] | Hunt step1: yolo_conf=0.75, opportunity_fire off, Scout tightened
2026-07-29 | [DEPLOY] | Hunt step1 gates live on Jetson (yolo 0.75, no opportunity fire)
2026-07-29 | [FEATURE] | Insect Train GUI (dry-fire) + insect ID RL suppress policy
2026-07-29 | [DEPLOY] | Insect Train tab + insect ID RL live on Jetson
2026-07-29 | [RESEARCH] | Peer insect projects → streak+sliced infer; next-steps HTML updated with repos
2026-07-29 | [DEPLOY] | min_verify_frames=3 + sliced_infer live on Jetson
2026-07-29 | [RESEARCH] | Insect Detect deep review → binary detect + metadata/export; buy narrow lens, not OAK
2026-07-29 | [CODE] | binary_insect_mode, yolo_imgsz=320, bbox frac, metadata.csv, /api/train/export
2026-07-29 | [SPEC] | SW-001 §2.16/§7.2 Insect Detect–aligned path
2026-07-29 | [DEPLOY] | Insect Detect software alignment to Jetson
2026-07-29 | [DOCS] | next-steps HTML: prioritized A–F checklist for 1–5m yard detect
2026-07-29 | [DOCS] | next-steps HTML: why Roboflow fails for yard + detailed A–F instructions
2026-07-30 | [OPS] | GitHub rename dropMosquitoes → bugsniper; origin URL updated; old URL redirects
2026-07-30 | [DOCS] | README → Bug Sniper; fix fluid/nozzle/turret; drop Orbit sprinkler claim
