Subsystem	Item	Qty	Est. (CAD)	URL	Notes / Why It's Missing
Weatherproofing	PG9 Nylon Cable Glands (IP68) — 10-pack	1	12	https://www.amazon.ca/Cable-Gland-Waterproof-Adjustable-Connectors/dp/B06Y5HGYK2	Referenced in drill template, cable_gland_cross.png. Need 3-4 for DC power, serial, tubing, and spare. NOT in original BOM.
Weatherproofing	PG11 Nylon Cable Gland (IP68) — 5-pack	1	10	https://www.amazon.ca/Plastic-Waterproof-Adjustable-Locknut-Connectors/dp/B07KFCGFHY	Larger bore needed for HDMI cable pass-through on CSI extension chain. NOT in original BOM.
Weatherproofing	Clear Acrylic Disc 50mm x 3mm (Lens Window)	2	8	https://www.amazon.ca/Acrylic-Circle-Plexiglass-Lucite-Transparent/dp/B09QKZ7V5G	Sealed window over the Scout camera lens aperture in enclosure lid. Shown in scout_cam_mount.png. NOT in BOM.
Weatherproofing	Nitrile O-Ring Assortment Kit (Metric)	1	14	https://www.amazon.ca/Nitrile-Rubber-Assortment-Washer-Gasket/dp/B07D5RLFLZ	Seals the acrylic lens window and cable gland threads. Shown in scout_cam_mount.png. NOT in BOM.
Mounting	M3 Nylon Standoff Assortment Kit (M/F)	1	12	https://www.amazon.ca/Lystaii-Standoff-Assortment-Male-Female-Threaded/dp/B07D78RFXZ	Mounts OV9281 Scout camera to enclosure lid interior. Shown in scout_cam_mount.png. NOT in BOM.
Mounting	M2.5 Screw + Nut Assortment Kit	1	10	https://www.amazon.ca/VIGRUE-Stainless-Machine-Assortment-Storage/dp/B08D3RK3KP	Secures IMX219 sniper camera to gimbal payload plate. Shown in sniper_cam_gimbal.png. NOT in BOM.
Mounting	M4 x 16mm Stainless Steel Bolts + Nuts (20-pack)	1	9	https://www.amazon.ca/Phillips-Machine-Stainless-Combination-Assortment/dp/B08JLWQJZJ	Bolts gimbal base to enclosure lid. 4x holes shown in enclosure_drill_template.png. NOT in BOM.
Mounting	Adhesive-Backed Zip Tie Mounts (100-pack)	1	9	https://www.amazon.ca/Cable-Adhesive-backed-Mounts-100pcs/dp/B07KFN1TPD	Anchor tubing and wires inside enclosure without drilling. Shown in tubing_anchor_detail.png. NOT in BOM.
Mounting	Aluminum Mounting Post / Pole (1.5m, 1" OD)	1	35	https://www.amazon.ca/HOMCOM-Adjustable-Flagpole-Aluminum-Residential/dp/B0C4J33XRG	Main vertical post for outdoor deployment. Shown in full_system_assembled.png. NOT in BOM.
Mounting	U-Bolt Pipe Clamps (1" for post mounting)	2	8	https://www.amazon.ca/Stainless-Steel-Bolt-Clamp-Pack/dp/B07KZT2D7J	Clamps IP67 enclosure to aluminum post. Referenced in full_system_assembled.png. NOT in BOM.
Mounting	3D-Printed Nozzle Bracket (PLA/PETG)	1	5	N/A — Print yourself or order from local print shop	Mounts Orbit nozzle alongside camera on gimbal payload plate. Shown in sniper_cam_gimbal.png. STL file TBD.
Power	USB-C PD Trigger Module (12V Input → USB-C 20V/3A Output)	1	15	https://www.amazon.ca/Type-C-Trigger-Module-Decoy-Board/dp/B0B6B2N8YF	Converts 12V Wago output to USB-C PD for Yahboom Jetson. Shown in power_distribution.png. NOT in BOM — critical for powering Jetson from shared 12V rail.
Power	Outdoor Extension Cord (15ft, weatherproof)	1	20	https://www.amazon.ca/Extension-Outdoor-Waterproof-Indicator-Appliance/dp/B09TW3QWMG	Powers the 12V brick outdoors. Needed for field deployment. NOT in BOM.
Fluid	Hose Clamps (1/4" — 10-pack, Stainless)	1	8	https://www.amazon.ca/Hose-Clamp-Stainless-Steel-Adjustable/dp/B07GXLZ7X4	Secures silicone tubing to pump outlet, check valve barbs, and nozzle. Prevents blowoff under pressure. NOT in BOM.
Fluid	Barbed T-Connector 1/4" (for bleed/drain)	2	6	https://www.amazon.ca/Plastic-Barbed-Connector-Fitting-Tubing/dp/B07WR5YY35	Optional drain point for winterization. Also useful for pressure testing. NOT in BOM.
Tools	Step Drill Bit Set (for PG9/PG11 enclosure holes)	1	18	https://www.amazon.ca/Step-Drill-Bit-Unibit-Titanium/dp/B00FYL5GK2	Required to cut clean cable gland holes in IP67 enclosure. NOT in BOM.
Tools	Deburring Tool	1	10	https://www.amazon.ca/Deburring-Tool-Plastic-Aluminum-Stainless/dp/B07WRKZ6QR	Cleans drilled holes in enclosure so cable glands seat properly. NOT in BOM.
